user_id,content_id,interaction_type,timestamp,session_id,device_type,watch_duration_seconds,rating
user_00368,content_00446,complete,2026-02-13 17:19:47,sess_305cdc19,desktop,2788,3.6
user_00103,content_00096,skip,2026-04-12 17:19:47,sess_edc1bd68,tablet,6659,
user_00632,content_00234,skip,2026-03-14 17:19:47,sess_0ffb309f,desktop,5955,
user_00383,content_00308,play,2026-01-18 17:19:47,sess_09cadf9a,tablet,2489,
user_00042,content_00498,skip,2026-04-01 17:19:47,sess_4968aa47,tablet,3518,
user_00793,content_00138,like,2026-02-08 17:19:47,sess_5c95b206,smart_tv,2492,
user_00908,content_00306,skip,2026-03-28 17:19:47,sess_f407fed5,smart_tv,5464,
user_00342,content_00404,skip,2026-03-01 17:19:47,sess_bd7608e6,tablet,3273,
user_00170,content_00236,play,2026-03-27 17:19:47,sess_5e468989,smart_tv,1439,
user_00309,content_00158,play,2026-03-15 17:19:47,sess_b4f8dd75,smart_tv,3606,
user_00093,content_00371,play,2026-01-17 17:19:47,sess_bf0e7220,desktop,70,
user_00489,content_00082,play,2026-02-13 17:19:47,sess_733129c7,tablet,5754,
user_00218,content_00468,play,2026-02-25 17:19:47,sess_bca3d2f0,tablet,5815,
user_00249,content_00391,skip,2026-02-22 17:19:47,sess_3299b302,desktop,2349,
user_00840,content_00346,add_to_watchlist,2026-02-11 17:19:47,sess_5ccf2ef3,mobile,1846,
user_00907,content_00312,play,2026-03-15 17:19:47,sess_ed0ee174,desktop,2997,
user_00349,content_00257,skip,2026-01-22 17:19:47,sess_6c79ba82,smart_tv,1161,
user_00512,content_00097,play,2026-03-07 17:19:47,sess_f50f41e2,tablet,790,
user_00348,content_00197,skip,2026-02-12 17:19:47,sess_1558a842,mobile,2168,
user_00982,content_00489,play,2026-03-25 17:19:47,sess_dafb24bb,tablet,5619,
user_00530,content_00428,play,2026-04-04 17:19:47,sess_f1cb6429,desktop,5650,
user_00751,content_00052,skip,2026-03-29 17:19:47,sess_8462b286,tablet,5652,
user_00466,content_00006,play,2026-01-19 17:19:47,sess_4b3d16b6,tablet,3490,
user_00790,content_00028,play,2026-03-12 17:19:47,sess_8acaf84c,mobile,4974,
user_00827,content_00411,skip,2026-02-05 17:19:47,sess_17534b1c,desktop,944,
user_00805,content_00092,skip,2026-03-26 17:19:47,sess_7005c426,mobile,2791,
user_00971,content_00479,skip,2026-02-15 17:19:47,sess_9a40ebb3,tablet,427,
user_00476,content_00145,play,2026-02-11 17:19:47,sess_d8aa8468,tablet,3037,
user_00052,content_00456,skip,2026-04-11 17:19:47,sess_9f968fa7,desktop,1494,
user_00301,content_00183,play,2026-02-16 17:19:47,sess_436cde0e,desktop,2468,
user_00652,content_00019,like,2026-02-23 17:19:47,sess_fdad046d,smart_tv,1465,
user_00087,content_00274,play,2026-03-27 17:19:47,sess_bfe4ceba,tablet,3561,
user_00915,content_00141,play,2026-02-15 17:19:47,sess_61dfcf07,smart_tv,6793,
user_00926,content_00428,add_to_watchlist,2026-03-04 17:19:47,sess_bf29283a,desktop,343,
user_00151,content_00312,skip,2026-04-04 17:19:47,sess_e29f2de2,desktop,5246,
user_00768,content_00155,play,2026-04-12 17:19:47,sess_1c4798fe,smart_tv,6147,
user_00264,content_00370,skip,2026-03-31 17:19:47,sess_da11d4b8,smart_tv,4706,
user_00268,content_00156,skip,2026-04-08 17:19:47,sess_a642d976,desktop,4726,
user_00485,content_00111,skip,2026-03-10 17:19:47,sess_3d8d1b5e,mobile,4983,
user_00409,content_00466,play,2026-03-09 17:19:47,sess_2b26ce89,desktop,71,
user_00417,content_00107,play,2026-02-20 17:19:47,sess_7660cc41,smart_tv,2280,
user_00274,content_00237,skip,2026-04-12 17:19:47,sess_0ffb53fd,desktop,1840,
user_00066,content_00314,play,2026-01-27 17:19:47,sess_5a1046b7,tablet,4846,
user_00431,content_00326,skip,2026-03-02 17:19:47,sess_9d6f9c76,desktop,2648,
user_00355,content_00422,play,2026-02-14 17:19:47,sess_029fc031,tablet,1755,
user_00546,content_00358,play,2026-02-24 17:19:47,sess_cf4a8a8e,desktop,3330,
user_00034,content_00339,skip,2026-03-01 17:19:47,sess_ce4a5c46,mobile,1730,
user_00766,content_00272,play,2026-03-08 17:19:47,sess_7a554cb6,desktop,3728,
user_00691,content_00240,play,2026-01-25 17:19:47,sess_ba8d5623,smart_tv,5143,
user_00361,content_00290,play,2026-04-12 17:19:47,sess_b7871675,desktop,4588,
user_00762,content_00252,skip,2026-03-30 17:19:47,sess_9b7ee57b,mobile,3271,
user_00224,content_00109,skip,2026-02-22 17:19:47,sess_f59fd327,tablet,2913,
user_00770,content_00112,play,2026-01-28 17:19:47,sess_a3906240,desktop,2646,
user_00789,content_00186,skip,2026-01-23 17:19:47,sess_954dc6b6,desktop,4144,
user_00549,content_00273,play,2026-02-22 17:19:47,sess_368ba0ed,tablet,6229,
user_00476,content_00147,skip,2026-03-09 17:19:47,sess_bdc8b786,mobile,4393,
user_00850,content_00172,skip,2026-01-30 17:19:47,sess_2d5d2196,tablet,3456,
user_00421,content_00097,skip,2026-04-04 17:19:47,sess_a9b6bc15,tablet,217,
user_00333,content_00313,play,2026-02-01 17:19:47,sess_d84a9691,tablet,5636,
user_00094,content_00488,play,2026-01-28 17:19:47,sess_3eeda5ed,tablet,4552,
user_00524,content_00443,play,2026-03-25 17:19:47,sess_6ed74cbb,tablet,3053,
user_00741,content_00448,play,2026-02-13 17:19:47,sess_4cf4bb28,smart_tv,2673,
user_00136,content_00151,play,2026-04-11 17:19:47,sess_998457a7,smart_tv,4761,
user_00473,content_00236,play,2026-01-27 17:19:47,sess_6ca8546d,tablet,2011,
user_00816,content_00091,like,2026-01-27 17:19:47,sess_06792662,desktop,7174,
