subscription_id,user_id,plan,billing_period,amount,payment_method,subscription_date,renewal_date,status
sub_b2390ddf,user_00001,Basic,monthly,49000,e_wallet,2026-01-21,2026-02-20,expired
sub_9261b2c1,user_00002,Premium,monthly,119000,bank_transfer,2025-07-09,2025-08-08,active
sub_5e98c9df,user_00003,Basic,annual,499000,debit_card,2025-12-01,2026-12-01,active
sub_e4a4255a,user_00004,Standard,monthly,79000,bank_transfer,2025-05-10,2025-06-09,active
sub_a534ee84,user_00005,Standard,annual,799000,credit_card,2025-09-03,2026-09-03,active
sub_2b4b3892,user_00008,Basic,monthly,49000,debit_card,2026-02-12,2026-03-14,expired
sub_8f420b28,user_00009,Basic,monthly,49000,bank_transfer,2025-07-17,2025-08-16,active
sub_92061ee5,user_00010,Standard,monthly,79000,bank_transfer,2025-05-18,2025-06-17,active
sub_9e0c9c5a,user_00011,Basic,annual,499000,bank_transfer,2025-06-04,2026-06-04,active
sub_495d721a,user_00012,Basic,annual,499000,debit_card,2026-01-21,2027-01-21,cancelled
sub_15c7048b,user_00013,Premium,monthly,119000,e_wallet,2025-11-09,2025-12-09,cancelled
sub_609c77dd,user_00014,Premium,annual,1199000,credit_card,2026-02-26,2027-02-26,active
sub_d784ef6c,user_00015,Basic,annual,499000,e_wallet,2025-06-13,2026-06-13,expired
sub_17480222,user_00016,Basic,annual,499000,credit_card,2025-04-30,2026-04-30,cancelled
sub_df2a6fd1,user_00017,Premium,monthly,119000,bank_transfer,2026-04-08,2026-05-08,active
sub_ba5de94a,user_00020,Basic,annual,499000,e_wallet,2025-05-16,2026-05-16,active
sub_8cd76c09,user_00021,Standard,annual,799000,debit_card,2025-09-28,2026-09-28,cancelled
sub_a180cfc3,user_00024,Premium,annual,1199000,e_wallet,2026-03-08,2027-03-08,expired
sub_0c661990,user_00025,Basic,monthly,49000,credit_card,2025-12-17,2026-01-16,active
sub_2954da2d,user_00026,Premium,monthly,119000,bank_transfer,2025-08-14,2025-09-13,expired
sub_7bb1b859,user_00027,Basic,annual,499000,credit_card,2025-10-11,2026-10-11,active
sub_39304e2a,user_00028,Standard,monthly,79000,credit_card,2026-03-15,2026-04-14,cancelled
sub_2972298b,user_00029,Basic,monthly,49000,bank_transfer,2026-03-13,2026-04-12,active
sub_79718711,user_00030,Premium,annual,1199000,e_wallet,2026-03-08,2027-03-08,active
sub_8b77e90c,user_00031,Premium,annual,1199000,credit_card,2025-05-20,2026-05-20,expired
sub_15a55eb1,user_00032,Premium,annual,1199000,credit_card,2026-03-18,2027-03-18,active
sub_2d206fcb,user_00033,Premium,annual,1199000,e_wallet,2025-10-18,2026-10-18,active
sub_186169b1,user_00035,Premium,monthly,119000,debit_card,2025-08-10,2025-09-09,expired
sub_3f046d76,user_00037,Premium,monthly,119000,e_wallet,2026-01-22,2026-02-21,cancelled
sub_2ce95ca9,user_00042,Standard,monthly,79000,credit_card,2025-09-09,2025-10-09,cancelled
sub_05139ab9,user_00043,Standard,annual,799000,e_wallet,2025-06-12,2026-06-12,active
sub_833ce9bd,user_00044,Basic,annual,499000,debit_card,2026-01-24,2027-01-24,active
sub_368154b3,user_00045,Standard,annual,799000,bank_transfer,2025-11-11,2026-11-11,expired
sub_1d24df86,user_00046,Standard,annual,799000,credit_card,2025-12-22,2026-12-22,active
sub_88c4484a,user_00047,Basic,annual,499000,e_wallet,2025-06-20,2026-06-20,active
sub_f47a5dfc,user_00048,Premium,monthly,119000,debit_card,2025-12-04,2026-01-03,active
sub_90b22491,user_00050,Premium,monthly,119000,debit_card,2025-07-07,2025-08-06,active
sub_a92ea3d9,user_00051,Basic,annual,499000,credit_card,2025-09-22,2026-09-22,active
sub_90ef7a45,user_00052,Basic,annual,499000,bank_transfer,2025-10-19,2026-10-19,active
sub_839be1e9,user_00053,Basic,monthly,49000,debit_card,2025-11-06,2025-12-06,active
sub_a2099632,user_00055,Basic,annual,499000,bank_transfer,2025-07-22,2026-07-22,active
sub_11c8c24e,user_00056,Premium,monthly,119000,e_wallet,2025-08-16,2025-09-15,expired
sub_ff0064d3,user_00057,Premium,annual,1199000,e_wallet,2025-05-25,2026-05-25,active
sub_a117f01e,user_00058,Standard,monthly,79000,e_wallet,2025-11-22,2025-12-22,active
sub_682d04ba,user_00060,Basic,annual,499000,bank_transfer,2025-05-13,2026-05-13,active
sub_7299fcc1,user_00061,Premium,monthly,119000,credit_card,2025-12-23,2026-01-22,expired
sub_169985d0,user_00062,Standard,monthly,79000,bank_transfer,2026-01-28,2026-02-27,active
sub_24da4663,user_00063,Basic,annual,499000,e_wallet,2025-08-18,2026-08-18,active
sub_492b9b7d,user_00064,Standard,monthly,79000,bank_transfer,2026-02-03,2026-03-05,active
sub_d982bf6e,user_00065,Standard,annual,799000,bank_transfer,2025-09-26,2026-09-26,active
sub_d6785333,user_00067,Standard,annual,799000,e_wallet,2026-03-10,2027-03-10,active
sub_dfef8889,user_00069,Premium,annual,1199000,debit_card,2025-05-03,2026-05-03,active
sub_2bab7559,user_00070,Basic,monthly,49000,bank_transfer,2025-12-27,2026-01-26,active
sub_f209a1d6,user_00071,Basic,annual,499000,credit_card,2026-03-10,2027-03-10,active
sub_215090ae,user_00072,Standard,annual,799000,bank_transfer,2026-02-14,2027-02-14,active
sub_f056f1f8,user_00073,Premium,annual,1199000,bank_transfer,2025-05-11,2026-05-11,expired
sub_b2d87a3c,user_00074,Standard,annual,799000,e_wallet,2025-10-27,2026-10-27,active
sub_f18cca55,user_00076,Basic,annual,499000,credit_card,2025-11-30,2026-11-30,active
sub_6fd06354,user_00077,Standard,annual,799000,bank_transfer,2025-11-06,2026-11-06,active
sub_6b0ba29c,user_00079,Standard,annual,799000,credit_card,2026-01-31,2027-01-31,cancelled
sub_9325cf07,user_00080,Basic,annual,499000,credit_card,2025-10-29,2026-10-29,expired
sub_6090f150,user_00081,Premium,monthly,119000,e_wallet,2026-02-03,2026-03-05,cancelled
sub_efcf2f95,user_00083,Premium,monthly,119000,debit_card,2026-02-03,2026-03-05,cancelled
sub_caeab880,user_00084,Premium,annual,1199000,bank_transfer,2026-01-06,2027-01-06,expired
sub_4b91501a,user_00085,Basic,monthly,49000,e_wallet,2025-08-24,2025-09-23,active
sub_aaaa6a4b,user_00086,Basic,annual,499000,e_wallet,2025-10-23,2026-10-23,expired
sub_410a95ae,user_00087,Basic,monthly,49000,debit_card,2025-05-12,2025-06-11,active
sub_f701f19d,user_00088,Standard,annual,799000,credit_card,2025-08-17,2026-08-17,cancelled
sub_d9aadc9e,user_00089,Basic,annual,499000,debit_card,2025-05-21,2026-05-21,expired
sub_d1d9ba9f,user_00092,Premium,annual,1199000,e_wallet,2025-05-19,2026-05-19,active
sub_816ec17d,user_00093,Basic,annual,499000,credit_card,2025-07-23,2026-07-23,expired
sub_2537cfd6,user_00094,Premium,annual,1199000,e_wallet,2025-11-29,2026-11-29,cancelled
sub_feabd37b,user_00095,Premium,monthly,119000,credit_card,2025-04-16,2025-05-16,cancelled
sub_5228acfb,user_00097,Standard,annual,799000,debit_card,2026-04-11,2027-04-11,active
sub_bd7adfaf,user_00098,Basic,annual,499000,debit_card,2026-04-01,2027-04-01,expired
sub_0997275c,user_00099,Premium,annual,1199000,debit_card,2025-12-15,2026-12-15,cancelled
sub_ca5d07b7,user_00100,Standard,annual,799000,credit_card,2025-06-21,2026-06-21,active
sub_4ee56077,user_00101,Standard,monthly,79000,debit_card,2025-08-30,2025-09-29,active
sub_2d2868cc,user_00102,Basic,monthly,49000,debit_card,2025-09-15,2025-10-15,active
sub_9c4a63c6,user_00103,Standard,monthly,79000,bank_transfer,2025-07-08,2025-08-07,active
sub_6d52c401,user_00104,Basic,monthly,49000,e_wallet,2025-11-11,2025-12-11,active
sub_62a12857,user_00107,Standard,annual,799000,e_wallet,2025-07-12,2026-07-12,cancelled
sub_285b9cf1,user_00109,Premium,monthly,119000,bank_transfer,2025-07-28,2025-08-27,active
sub_5ce0a63b,user_00110,Premium,monthly,119000,e_wallet,2025-12-24,2026-01-23,active
sub_3f09d23c,user_00112,Basic,monthly,49000,debit_card,2025-08-20,2025-09-19,active
sub_1f0b480d,user_00113,Premium,monthly,119000,bank_transfer,2025-08-19,2025-09-18,active
sub_6886910d,user_00114,Basic,monthly,49000,bank_transfer,2025-07-13,2025-08-12,active
sub_dbdc8a9b,user_00117,Premium,annual,1199000,debit_card,2025-08-12,2026-08-12,active
sub_85b97a52,user_00121,Basic,annual,499000,debit_card,2025-11-26,2026-11-26,active
sub_27b90373,user_00122,Premium,annual,1199000,credit_card,2025-11-25,2026-11-25,active
sub_0ce7da7d,user_00123,Standard,annual,799000,e_wallet,2026-03-15,2027-03-15,expired
sub_fbde9131,user_00124,Standard,monthly,79000,e_wallet,2025-12-25,2026-01-24,active
sub_ed55e374,user_00125,Premium,annual,1199000,bank_transfer,2026-03-20,2027-03-20,active
sub_34f86a87,user_00129,Premium,annual,1199000,bank_transfer,2025-10-22,2026-10-22,active
sub_fe515f2c,user_00130,Basic,annual,499000,credit_card,2025-08-09,2026-08-09,active
sub_2976ac6e,user_00131,Standard,monthly,79000,debit_card,2025-07-12,2025-08-11,active
sub_8c431f36,user_00132,Standard,annual,799000,bank_transfer,2025-07-09,2026-07-09,active
sub_1cedda83,user_00133,Premium,monthly,119000,debit_card,2026-02-02,2026-03-04,expired
sub_8dd4d5d8,user_00134,Standard,monthly,79000,bank_transfer,2026-02-28,2026-03-30,expired
sub_ccda15af,user_00135,Premium,monthly,119000,debit_card,2026-01-30,2026-03-01,cancelled
sub_e32417d3,user_00137,Premium,monthly,119000,e_wallet,2026-03-16,2026-04-15,active
sub_2b505425,user_00138,Standard,annual,799000,bank_transfer,2025-08-22,2026-08-22,active
sub_a999725b,user_00139,Premium,monthly,119000,debit_card,2025-09-29,2025-10-29,active
sub_0bcb180f,user_00143,Basic,monthly,49000,e_wallet,2025-07-24,2025-08-23,active
sub_e335faca,user_00144,Basic,annual,499000,e_wallet,2025-11-24,2026-11-24,active
sub_8549283b,user_00145,Basic,annual,499000,bank_transfer,2025-05-24,2026-05-24,cancelled
sub_e70bc8e2,user_00146,Standard,monthly,79000,debit_card,2025-07-30,2025-08-29,expired
sub_d503c0eb,user_00147,Standard,monthly,79000,debit_card,2025-04-25,2025-05-25,expired
sub_a561674c,user_00148,Premium,monthly,119000,bank_transfer,2025-08-01,2025-08-31,expired
sub_8f187e9b,user_00150,Basic,annual,499000,e_wallet,2025-08-25,2026-08-25,active
sub_1f3b3d51,user_00152,Standard,monthly,79000,debit_card,2025-10-13,2025-11-12,active
sub_571dcd8a,user_00153,Basic,monthly,49000,debit_card,2025-07-26,2025-08-25,active
sub_8a7c474f,user_00154,Standard,annual,799000,credit_card,2025-09-21,2026-09-21,cancelled
sub_03ca260f,user_00155,Premium,annual,1199000,bank_transfer,2025-08-23,2026-08-23,active
sub_c41feee4,user_00156,Standard,monthly,79000,e_wallet,2026-01-11,2026-02-10,active
sub_1825e05d,user_00157,Standard,annual,799000,credit_card,2025-08-26,2026-08-26,expired
sub_804293bc,user_00158,Basic,monthly,49000,debit_card,2025-12-26,2026-01-25,active
sub_4cfd3b2c,user_00159,Premium,monthly,119000,credit_card,2025-05-08,2025-06-07,active
sub_a475ba9e,user_00161,Premium,annual,1199000,debit_card,2025-09-27,2026-09-27,expired
sub_c37feaca,user_00163,Premium,monthly,119000,credit_card,2026-02-28,2026-03-30,cancelled
sub_32db6077,user_00164,Standard,annual,799000,e_wallet,2025-10-03,2026-10-03,active
sub_001848ad,user_00165,Basic,monthly,49000,e_wallet,2025-06-17,2025-07-17,expired
sub_8fca758c,user_00166,Basic,monthly,49000,debit_card,2025-05-21,2025-06-20,active
sub_63729987,user_00167,Standard,annual,799000,bank_transfer,2026-01-07,2027-01-07,active
sub_5a6a8dad,user_00168,Basic,annual,499000,credit_card,2025-05-21,2026-05-21,expired
sub_c7e31e0f,user_00170,Standard,annual,799000,debit_card,2025-05-18,2026-05-18,active
sub_5126e20f,user_00171,Premium,annual,1199000,credit_card,2026-02-12,2027-02-12,active
sub_d4b60244,user_00174,Premium,monthly,119000,debit_card,2026-04-10,2026-05-10,active
sub_8a3c34c5,user_00175,Standard,monthly,79000,credit_card,2025-10-30,2025-11-29,active
sub_700e7707,user_00176,Premium,monthly,119000,credit_card,2025-05-07,2025-06-06,expired
sub_4f4a8bc3,user_00177,Premium,monthly,119000,bank_transfer,2026-03-09,2026-04-08,active
sub_5576d62f,user_00178,Standard,monthly,79000,credit_card,2026-02-15,2026-03-17,active
sub_41cdba81,user_00181,Standard,annual,799000,debit_card,2025-10-29,2026-10-29,expired
sub_c3404985,user_00182,Standard,annual,799000,debit_card,2026-04-07,2027-04-07,expired
sub_c9335018,user_00184,Basic,monthly,49000,bank_transfer,2025-11-01,2025-12-01,active
sub_780bf046,user_00185,Standard,annual,799000,debit_card,2025-07-21,2026-07-21,active
sub_4ffb2e91,user_00186,Basic,annual,499000,e_wallet,2025-07-05,2026-07-05,active
sub_4809457c,user_00188,Standard,annual,799000,bank_transfer,2026-01-04,2027-01-04,active
sub_c43fb220,user_00189,Basic,annual,499000,e_wallet,2025-11-17,2026-11-17,expired
sub_1cd08b1b,user_00190,Premium,annual,1199000,debit_card,2025-09-04,2026-09-04,active
sub_1fdb14f5,user_00191,Premium,annual,1199000,bank_transfer,2025-07-28,2026-07-28,active
sub_a43c9604,user_00192,Basic,annual,499000,e_wallet,2025-05-28,2026-05-28,active
sub_aa05bf80,user_00193,Basic,annual,499000,debit_card,2026-02-23,2027-02-23,active
sub_b14f46a5,user_00194,Basic,annual,499000,debit_card,2025-05-24,2026-05-24,expired
sub_5700562d,user_00195,Premium,annual,1199000,debit_card,2026-01-27,2027-01-27,active
sub_c7168bdb,user_00196,Premium,monthly,119000,e_wallet,2025-09-14,2025-10-14,active
sub_8354bf9e,user_00198,Premium,annual,1199000,e_wallet,2025-09-12,2026-09-12,active
sub_2ea62682,user_00199,Standard,annual,799000,debit_card,2026-02-01,2027-02-01,active
