user_id,content_id,interaction_type,timestamp,session_id,device_type,watch_duration_seconds,rating
user_00368,content_00446,complete,2026-02-13 17:17:39,sess_947e904c,desktop,2788,3.6
user_00103,content_00096,skip,2026-04-12 17:17:39,sess_a9bf5c36,tablet,6659,
user_00632,content_00234,skip,2026-03-14 17:17:39,sess_e959a89d,desktop,5955,
user_00383,content_00308,play,2026-01-18 17:17:39,sess_c055365e,tablet,2489,
user_00042,content_00498,skip,2026-04-01 17:17:39,sess_43aeb119,tablet,3518,
user_00793,content_00138,like,2026-02-08 17:17:39,sess_2952db87,smart_tv,2492,
user_00908,content_00306,skip,2026-03-28 17:17:39,sess_54a7331a,smart_tv,5464,
user_00342,content_00404,skip,2026-03-01 17:17:39,sess_709abab3,tablet,3273,
user_00170,content_00236,play,2026-03-27 17:17:39,sess_3aefdc24,smart_tv,1439,
user_00309,content_00158,play,2026-03-15 17:17:39,sess_8d32db41,smart_tv,3606,
user_00093,content_00371,play,2026-01-17 17:17:39,sess_f197047b,desktop,70,
user_00489,content_00082,play,2026-02-13 17:17:39,sess_bc9e56f9,tablet,5754,
user_00218,content_00468,play,2026-02-25 17:17:39,sess_f20dca0e,tablet,5815,
user_00249,content_00391,skip,2026-02-22 17:17:39,sess_32e564fa,desktop,2349,
user_00840,content_00346,add_to_watchlist,2026-02-11 17:17:39,sess_a3aef2dc,mobile,1846,
user_00907,content_00312,play,2026-03-15 17:17:39,sess_31f1e407,desktop,2997,
user_00349,content_00257,skip,2026-01-22 17:17:39,sess_aa803bd7,smart_tv,1161,
user_00512,content_00097,play,2026-03-07 17:17:39,sess_e1e3df15,tablet,790,
user_00348,content_00197,skip,2026-02-12 17:17:39,sess_dc79bd0b,mobile,2168,
user_00982,content_00489,play,2026-03-25 17:17:39,sess_d28e72db,tablet,5619,
user_00530,content_00428,play,2026-04-04 17:17:39,sess_1627680d,desktop,5650,
user_00751,content_00052,skip,2026-03-29 17:17:39,sess_b2459b26,tablet,5652,
user_00466,content_00006,play,2026-01-19 17:17:39,sess_4dc4fd5e,tablet,3490,
user_00790,content_00028,play,2026-03-12 17:17:39,sess_7abd64e4,mobile,4974,
user_00827,content_00411,skip,2026-02-05 17:17:39,sess_a092be5d,desktop,944,
user_00805,content_00092,skip,2026-03-26 17:17:39,sess_df17d306,mobile,2791,
user_00971,content_00479,skip,2026-02-15 17:17:39,sess_ad29944f,tablet,427,
user_00476,content_00145,play,2026-02-11 17:17:39,sess_f9d8abb2,tablet,3037,
user_00052,content_00456,skip,2026-04-11 17:17:39,sess_3f004402,desktop,1494,
user_00301,content_00183,play,2026-02-16 17:17:39,sess_d6387c14,desktop,2468,
user_00652,content_00019,like,2026-02-23 17:17:39,sess_404bba78,smart_tv,1465,
user_00087,content_00274,play,2026-03-27 17:17:39,sess_0054912e,tablet,3561,
user_00915,content_00141,play,2026-02-15 17:17:39,sess_d455d340,smart_tv,6793,
user_00926,content_00428,add_to_watchlist,2026-03-04 17:17:39,sess_50f0c8b3,desktop,343,
user_00151,content_00312,skip,2026-04-04 17:17:39,sess_4ac126de,desktop,5246,
user_00768,content_00155,play,2026-04-12 17:17:39,sess_efe41dc2,smart_tv,6147,
user_00264,content_00370,skip,2026-03-31 17:17:39,sess_ec08ded9,smart_tv,4706,
user_00268,content_00156,skip,2026-04-08 17:17:39,sess_aadfee40,desktop,4726,
user_00485,content_00111,skip,2026-03-10 17:17:39,sess_f1c69ae0,mobile,4983,
user_00409,content_00466,play,2026-03-09 17:17:39,sess_7a9b1bf1,desktop,71,
user_00417,content_00107,play,2026-02-20 17:17:39,sess_e813a955,smart_tv,2280,
user_00274,content_00237,skip,2026-04-12 17:17:39,sess_be3b858d,desktop,1840,
user_00066,content_00314,play,2026-01-27 17:17:39,sess_6144ba37,tablet,4846,
user_00431,content_00326,skip,2026-03-02 17:17:39,sess_dea0fcd9,desktop,2648,
user_00355,content_00422,play,2026-02-14 17:17:39,sess_74421436,tablet,1755,
user_00546,content_00358,play,2026-02-24 17:17:39,sess_ec6d8e30,desktop,3330,
user_00034,content_00339,skip,2026-03-01 17:17:39,sess_89a4222b,mobile,1730,
user_00766,content_00272,play,2026-03-08 17:17:39,sess_4d3bc70e,desktop,3728,
user_00691,content_00240,play,2026-01-25 17:17:39,sess_21420bb5,smart_tv,5143,
user_00361,content_00290,play,2026-04-12 17:17:39,sess_eaabae93,desktop,4588,
user_00762,content_00252,skip,2026-03-30 17:17:39,sess_eb574b38,mobile,3271,
user_00224,content_00109,skip,2026-02-22 17:17:39,sess_5c88c57a,tablet,2913,
